GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticketnest-backend,com.keyin.ticketnestbackend.exception,GlobalExceptionHandler,26,3,0,0,12,1,2,1,2,1
ticketnest-backend,com.keyin.ticketnestbackend.rest.auth,AuthController,14,106,1,1,5,28,1,3,0,3
ticketnest-backend,com.keyin.ticketnestbackend.rest.auth,RegisterRequest,0,15,0,0,0,1,0,1,0,1
ticketnest-backend,com.keyin.ticketnestbackend.rest.auth,AuthRequest,0,9,0,0,0,1,0,1,0,1
ticketnest-backend,com.keyin.ticketnestbackend.security,CustomUserDetailsService,5,18,1,1,0,4,1,2,0,2
ticketnest-backend,com.keyin.ticketnestbackend.security,AppUserDetails,12,20,0,0,5,3,5,3,5,3
ticketnest-backend,com.keyin.ticketnestbackend.security,JwtAuthFilter,1,50,1,3,1,14,1,3,0,2
ticketnest-backend,com.keyin.ticketnestbackend.security,JwtUtil,18,57,2,2,5,15,3,4,1,4
ticketnest-backend,com.keyin.ticketnestbackend,TicketnestBackendApplication,5,3,0,0,2,2,1,1,1,1
ticketnest-backend,com.keyin.ticketnestbackend.rest.event,EventService,5,90,1,1,1,25,1,7,0,7
ticketnest-backend,com.keyin.ticketnestbackend.rest.event,EventController,0,41,0,0,0,9,0,6,0,6
ticketnest-backend,com.keyin.ticketnestbackend.rest.payment,PaymentResponse,0,27,0,0,0,1,0,1,0,1
ticketnest-backend,com.keyin.ticketnestbackend.rest.payment,PaymentController,6,38,0,0,1,8,1,6,1,6
ticketnest-backend,com.keyin.ticketnestbackend.rest.payment,PaymentService,44,148,6,4,7,41,9,8,5,7
ticketnest-backend,com.keyin.ticketnestbackend.rest.model,Role,0,15,0,0,0,3,0,1,0,1
ticketnest-backend,com.keyin.ticketnestbackend.rest.model,PaymentStatus,0,15,0,0,0,3,0,1,0,1
ticketnest-backend,com.keyin.ticketnestbackend.config,JwtSecurityConfig.new DaoAuthenticationProvider() {...},0,18,0,0,0,4,0,1,0,1
ticketnest-backend,com.keyin.ticketnestbackend.config,EventDataSeeder,6,171,2,6,2,63,2,5,0,3
ticketnest-backend,com.keyin.ticketnestbackend.config,JwtSecurityConfig,0,193,0,0,0,25,0,8,0,8
ticketnest-backend,com.keyin.ticketnestbackend.rest.user,UserService,0,82,0,2,0,20,0,8,0,7
ticketnest-backend,com.keyin.ticketnestbackend.rest.user,UserController,0,41,0,0,0,10,0,6,0,6
ticketnest-backend,com.keyin.ticketnestbackend.rest.booking,BookingController,0,37,0,0,0,8,0,6,0,6
ticketnest-backend,com.keyin.ticketnestbackend.rest.booking,BookingService,20,148,3,5,1,38,6,9,3,8
